Clade	RGB
AY.4	rgb(30.894538606403014, 0.0, 224.10546139359698)
AY.40	rgb(31.05461393596987, 0.0, 223.94538606403012)
AY.41	rgb(31.214689265536723, 0.0, 223.78531073446328)
AY.4.1	rgb(31.374764595103578, 0.0, 223.62523540489642)
AY.4.10	rgb(31.534839924670433, 0.0, 223.46516007532958)
AY.4.11	rgb(31.69491525423729, 0.0, 223.3050847457627)
AY.4.12	rgb(31.854990583804145, 0.0, 223.14500941619585)
AY.4.13	rgb(32.015065913371, 0.0, 222.984934086629)
AY.4.14	rgb(32.175141242937855, 0.0, 222.82485875706215)
AY.4.15	rgb(32.335216572504706, 0.0, 222.6647834274953)
AY.4.16	rgb(32.495291902071564, 0.0, 222.50470809792844)
AY.4.17	rgb(32.65536723163842, 0.0, 222.34463276836158)
AY.42	rgb(32.81544256120527, 0.0, 222.18455743879474)
AY.4.2	rgb(32.97551789077213, 0.0, 222.02448210922788)
AY.4.2.1	rgb(33.13559322033898, 0.0, 221.864406779661)
AY.42.1	rgb(33.29566854990584, 0.0, 221.70433145009417)
AY.4.2.2	rgb(33.45574387947269, 0.0, 221.5442561205273)
AY.4.2.3	rgb(33.61581920903955, 0.0, 221.38418079096044)
AY.4.2.4	rgb(33.7758945386064, 0.0, 221.2241054613936)
AY.43	rgb(33.93596986817326, 0.0, 221.06403013182674)
AY.4.3	rgb(34.09604519774011, 0.0, 220.90395480225988)
AY.43.1	rgb(34.25612052730697, 0.0, 220.74387947269304)
AY.43.2	rgb(34.41619585687383, 0.0, 220.58380414312617)
AY.43.3	rgb(34.57627118644068, 0.0, 220.4237288135593)
AY.43.4	rgb(34.736346516007536, 0.0, 220.26365348399247)
AY.43.5	rgb(34.89642184557439, 0.0, 220.1035781544256)
AY.43.6	rgb(35.056497175141246, 0.0, 219.94350282485874)
AY.43.7	rgb(35.2165725047081, 0.0, 219.7834274952919)
AY.43.8	rgb(35.376647834274955, 0.0, 219.62335216572504)
AY.43.9	rgb(35.536723163841806, 0.0, 219.4632768361582)
AY.44	rgb(35.696798493408664, 0.0, 219.30320150659134)
AY.4.4	rgb(35.856873822975516, 0.0, 219.1431261770245)
AY.45	rgb(36.016949152542374, 0.0, 218.98305084745763)
AY.4.5	rgb(36.17702448210923, 0.0, 218.82297551789077)
AY.46	rgb(36.33709981167608, 0.0, 218.66290018832393)
AY.4.6	rgb(36.49717514124294, 0.0, 218.50282485875707)
AY.46.1	rgb(36.65725047080979, 0.0, 218.3427495291902)
AY.46.2	rgb(36.81732580037665, 0.0, 218.18267419962336)
AY.46.3	rgb(36.9774011299435, 0.0, 218.0225988700565)
AY.46.4	rgb(37.13747645951036, 0.0, 217.86252354048963)
AY.46.5	rgb(37.29755178907721, 0.0, 217.7024482109228)
AY.46.6	rgb(37.45762711864407, 0.0, 217.54237288135593)
AY.46.6.1	rgb(37.61770244821093, 0.0, 217.38229755178907)
AY.47	rgb(37.77777777777778, 0.0, 217.22222222222223)
AY.4.7	rgb(37.93785310734464, 0.0, 217.06214689265536)
AY.48	rgb(38.09792843691149, 0.0, 216.9020715630885)
AY.4.8	rgb(38.258003766478346, 0.0, 216.74199623352166)
AY.49	rgb(38.4180790960452, 0.0, 216.5819209039548)
AY.4.9	rgb(38.578154425612055, 0.0, 216.42184557438793)
AY.5	rgb(38.73822975517891, 0.0, 216.2617702448211)
AY.50	rgb(38.898305084745765, 0.0, 216.10169491525423)
AY.51	rgb(39.058380414312616, 0.0, 215.9416195856874)
AY.5.1	rgb(39.218455743879474, 0.0, 215.78154425612053)
AY.52	rgb(39.37853107344633, 0.0, 215.62146892655366)
AY.5.2	rgb(39.53860640301318, 0.0, 215.46139359698682)
AY.53	rgb(39.69868173258004, 0.0, 215.30131826741996)
AY.5.3	rgb(39.85875706214689, 0.0, 215.14124293785312)
AY.54	rgb(40.01883239171375, 0.0, 214.98116760828626)
